
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
13.8031,21.0258,13.9454,um,Spot,Position,1,1000000000,0,
11.1414,8.26244,12.2103,um,Spot,Position,1,1000000001,75,
13.8207,21.0058,14.0548,um,Spot,Position,2,1000000000,1,
11.1387,8.36511,12.3196,um,Spot,Position,2,1000000001,76,
13.8546,20.9611,14.0276,um,Spot,Position,3,1000000000,2,
11.2136,8.42367,12.3096,um,Spot,Position,3,1000000001,77,
13.7996,20.9432,14.0581,um,Spot,Position,4,1000000000,3,
11.1742,8.4244,12.347,um,Spot,Position,4,1000000001,78,
13.8018,20.9017,14.0412,um,Spot,Position,5,1000000000,4,
11.1913,8.44363,12.3421,um,Spot,Position,5,1000000001,79,
13.8248,20.9184,14.0376,um,Spot,Position,6,1000000000,5,
11.2164,8.4454,12.3438,um,Spot,Position,6,1000000001,80,
13.8297,21.0075,14.0516,um,Spot,Position,7,1000000000,6,
11.2012,8.40667,12.3323,um,Spot,Position,7,1000000001,81,
13.8358,21.0188,14.0509,um,Spot,Position,8,1000000000,7,
11.2049,8.44669,12.3283,um,Spot,Position,8,1000000001,82,
13.8531,21.0184,14.076,um,Spot,Position,9,1000000000,8,
11.2008,8.40274,12.3501,um,Spot,Position,9,1000000001,83,
13.809,20.9806,13.9834,um,Spot,Position,10,1000000000,9,
11.1714,8.4147,12.2665,um,Spot,Position,10,1000000001,84,
13.7728,20.9206,14.0565,um,Spot,Position,11,1000000000,10,
11.1663,8.47636,12.3649,um,Spot,Position,11,1000000001,85,
13.7921,20.9016,13.9518,um,Spot,Position,12,1000000000,11,
11.1915,8.53314,12.2824,um,Spot,Position,12,1000000001,86,
13.841,20.9295,14.1155,um,Spot,Position,13,1000000000,12,
11.2146,8.47097,12.4554,um,Spot,Position,13,1000000001,87,
13.8519,20.9255,14.0144,um,Spot,Position,14,1000000000,13,
11.2384,8.45679,12.2984,um,Spot,Position,14,1000000001,88,
13.8764,20.8666,14.0767,um,Spot,Position,15,1000000000,14,
11.226,8.4855,12.3801,um,Spot,Position,15,1000000001,89,
13.8958,20.8965,14.041,um,Spot,Position,16,1000000000,15,
11.237,8.49988,12.3671,um,Spot,Position,16,1000000001,90,
13.8079,20.9403,14.011,um,Spot,Position,17,1000000000,16,
11.1725,8.44612,12.3405,um,Spot,Position,17,1000000001,91,
13.8562,20.979,14.0336,um,Spot,Position,18,1000000000,17,
11.2202,8.39704,12.3161,um,Spot,Position,18,1000000001,92,
13.8574,20.9911,14.0608,um,Spot,Position,19,1000000000,18,
11.1824,8.39029,12.3382,um,Spot,Position,19,1000000001,93,
13.8284,20.9917,14.149,um,Spot,Position,20,1000000000,19,
11.2382,8.41339,12.472,um,Spot,Position,20,1000000001,94,
13.7946,21.0318,13.9675,um,Spot,Position,21,1000000000,20,
11.1684,8.38837,12.2603,um,Spot,Position,21,1000000001,95,
13.8067,21.0488,13.9913,um,Spot,Position,22,1000000000,21,
11.2032,8.42924,12.2524,um,Spot,Position,22,1000000001,96,
13.8486,20.9667,14.0405,um,Spot,Position,23,1000000000,22,
11.218,8.40479,12.2906,um,Spot,Position,23,1000000001,97,
13.8275,21.0226,13.9774,um,Spot,Position,24,1000000000,23,
