
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
16.4091,10.9239,10.051,um,Spot,Position,1,1000000000,0,
16.8677,12.4048,10.2846,um,Spot,Position,1,1000000001,1,
12.7268,15.5832,7.8877,um,Spot,Position,1,1000000002,2,
8.64022,19.3483,8.29721,um,Spot,Position,1,1000000003,3,
11.5841,16.359,8.83493,um,Spot,Position,1,1000000004,4,
12.2944,15.1904,9.00486,um,Spot,Position,1,1000000005,5,
11.6347,16.5927,9.31527,um,Spot,Position,1,1000000006,6,
12.4194,19.0562,9.50755,um,Spot,Position,1,1000000007,7,
11.4096,19.6331,9.5135,um,Spot,Position,1,1000000008,8,
10.7737,16.5775,10.1081,um,Spot,Position,1,1000000009,9,
9.78318,23.5971,10.1626,um,Spot,Position,1,1000000010,10,
12.1817,23.096,10.2852,um,Spot,Position,1,1000000011,11,
13.819,18.5203,7.23567,um,Spot,Position,1,1000000012,12,
13.0144,19.7091,7.33307,um,Spot,Position,1,1000000013,13,
13.9227,16.5636,9.01332,um,Spot,Position,1,1000000014,14,
15.6154,19.3352,9.09307,um,Spot,Position,1,1000000015,15,
13.1748,22.7796,8.9503,um,Spot,Position,1,1000000016,16,
13.0304,21.814,9.25834,um,Spot,Position,1,1000000017,17,
13.8543,17.9233,9.45677,um,Spot,Position,1,1000000018,18,
13.6634,19.8779,9.38602,um,Spot,Position,1,1000000019,19,
17.7995,19.2181,9.63861,um,Spot,Position,1,1000000020,20,
12.9501,14.6534,9.92935,um,Spot,Position,1,1000000021,21,
12.9885,19.3176,9.86233,um,Spot,Position,1,1000000022,22,
14.2752,17.7884,10.055,um,Spot,Position,1,1000000023,23,
15.0699,17.7689,10.0132,um,Spot,Position,1,1000000024,24,
16.1155,19.981,10.0616,um,Spot,Position,1,1000000025,25,
13.5508,20.3523,10.05,um,Spot,Position,1,1000000026,26,
17.0749,23.3936,10.1439,um,Spot,Position,1,1000000027,27,
13.3946,21.562,10.2392,um,Spot,Position,1,1000000028,28,
12.6133,10.2953,10.9759,um,Spot,Position,1,1000000029,29,
10.0929,12.7395,11.486,um,Spot,Position,1,1000000030,30,
11.2018,10.253,12.6237,um,Spot,Position,1,1000000031,31,
10.698,10.7159,13.8476,um,Spot,Position,1,1000000032,32,
14.6133,12.1233,10.5238,um,Spot,Position,1,1000000033,33,
13.274,12.4731,10.7167,um,Spot,Position,1,1000000034,34,
15.8513,12.0385,10.8696,um,Spot,Position,1,1000000035,35,
14.1659,11.1261,11.6753,um,Spot,Position,1,1000000036,36,
14.1716,10.3381,11.8129,um,Spot,Position,1,1000000037,37,
17.6513,10.9296,12.0849,um,Spot,Position,1,1000000038,38,
14.9467,10.801,12.2198,um,Spot,Position,1,1000000039,39,
16.6442,10.8171,12.2741,um,Spot,Position,1,1000000040,40,
13.7417,10.3922,12.5086,um,Spot,Position,1,1000000041,41,
15.3183,11.1507,12.4048,um,Spot,Position,1,1000000042,42,
14.2428,11.0264,12.9323,um,Spot,Position,1,1000000043,43,
14.7144,11.271,13.0089,um,Spot,Position,1,1000000044,44,
14.0875,12.1342,12.9208,um,Spot,Position,1,1000000045,45,
15.1396,9.55936,13.204,um,Spot,Position,1,1000000046,46,
13.415,10.8532,13.0505,um,Spot,Position,1,1000000047,47,
15.9888,12.1348,13.1131,um,Spot,Position,1,1000000048,48,
13.4683,11.5929,13.7755,um,Spot,Position,1,1000000049,49,
9.64907,19.2587,10.4978,um,Spot,Position,1,1000000050,50,
12.3418,14.364,10.7169,um,Spot,Position,1,1000000051,51,
12.5167,19.9796,10.6648,um,Spot,Position,1,1000000052,52,
10.194,15.7911,11.0245,um,Spot,Position,1,1000000053,53,
10.2777,19.0793,11.2294,um,Spot,Position,1,1000000054,54,
10.271,16.8448,11.41,um,Spot,Position,1,1000000055,55,
12.6994,22.5292,11.3894,um,Spot,Position,1,1000000056,56,
12.2796,19.3345,11.6309,um,Spot,Position,1,1000000057,57,
12.7207,23.9337,11.5249,um,Spot,Position,1,1000000058,58,
